A–o;periodo;LCC;ACC;peso;Huevos;playa;distancia;profNido;crias_Emerg;crias_Muertas;hrotos;cangrejos
2000;4;83,8;80,1;58,1;79;Ponta Cosme;25,5;40,8;;;;
2003;4;82,2;79,2;58,1;78;Ervatao;24,9;54,6;10;0;68;0
1999;2;83,9;77,7;66,7;94;Ervatao;21,3;58,1;52;0;42;0
2001;3;83,5;76,4;63,5;82;Ervatao;18,7;53,3;;;;
2000;3;80;75,4;62,7;72;Ervatao;17,2;57,4;14;0;58;0
2004;5;83,7;78,6;61,7;83;Ervatao;24,8;57,9;66;0;17;0
2002;2;80,4;74,2;55,8;84;Ponta Cosme;23,2;39,1;29;0;55;1
2000;1;84,4;81,4;59,4;83;Ervatao;20,9;61,5;25;0;58;0
2002;2;74,5;75,1;53,3;97;Ervatao;15,4;49,1;47;0;50;1
2000;1;79,6;75,4;57,9;78;Ervatao;15,2;51,4;0;0;78;1
2004;4;94,9;82,6;64,1;109;Ponta Cosme;15,9;44,8;80;0;29;0
2004;5;84,1;73,6;68;86;Ponta Cosme;24,9;46,4;41;0;45;0
2001;5;80,4;76,6;59,6;68;Ervatao;19,9;63,4;23;0;45;1
1999;5;80,7;72,5;62,9;86;Ponta Cosme;17,8;31,2;0;0;86;1
2001;5;78,8;74,8;57,6;84;Calheta;21,4;38,7;58;0;26;1
2003;1;87,8;83,3;67,7;89;Ervatao;18,1;57,4;54;2;33;1
2001;3;86,8;78,8;61,3;77;Ponta Cosme;21,7;45,4;66;1;10;0
2001;5;80,7;74,7;57,6;71;Ponta Cosme;29,1;47,5;0;5;66;1
2004;1;74,6;67,9;58,1;79;Ervatao;21,4;64,3;;;;
2004;2;82;78,3;64,5;89;Ervatao;18,3;58,9;;;;
2002;5;79,6;72,3;54,3;86;Calheta;15,7;33,1;81;1;4;1
2002;4;85,3;80,6;60;105;Ervatao;22,8;59;0;0;105;1
2004;4;83,6;81;63,7;87;Calheta;15,8;40,1;26;0;61;1
2001;2;84,4;83,9;56,3;77;Ponta Cosme;19,5;32,7;22;0;55;0
2004;4;81,7;77,6;55,9;77;Calheta;21,3;29,9;;;;
1999;5;75;71,9;54,2;70;Ponta Cosme;32;48;55;0;15;0
2004;4;81,8;82,1;60,7;75;Ponta Cosme;18,1;40,8;;;;
2000;5;83,2;78,3;64;76;Ponta Cosme;37,5;52,6;3;6;67;1
1999;2;84,9;81,3;61,4;89;Ervatao;22;54,4;9;0;80;1
1999;4;77,2;76,6;61,2;89;Ponta Cosme;23;48,8;14;0;75;1
1999;5;83;75,7;64;97;Calheta;30,2;36,7;;;;
2000;3;85;82,5;59,9;74;Ponta Cosme;23,7;44,2;0;0;74;1
2001;3;80,4;75,1;64;82;Ponta Cosme;33;46,1;15;5;62;1
2000;4;79,9;77;59;77;Ervatao;32,7;62,8;34;0;43;1
2000;3;78,5;73,8;52;75;Ervatao;20,6;50,2;58;1;16;0
2001;2;83,8;78,5;62,8;73;Porto Ferreiro;16,2;41,6;38;1;34;1
2002;4;83,1;77;56;78;Ervatao;17,9;58,3;51;0;27;1
2000;4;74;72,6;54,6;70;Ponta Cosme;21;44,3;53;1;16;0
1999;5;68,7;68,6;53,2;68;Ervatao;16,8;53,6;1;1;66;1
1999;2;79,5;68,7;60,7;100;Ervatao;17,6;49,7;;;;
2000;3;85,3;78,6;67,2;91;Ponta Cosme;20,7;43,4;;;;
2000;1;90,9;82,4;63,7;123;Calheta;19,4;38,7;10;0;113;1
2004;2;83,1;80,6;63,3;99;Ponta Cosme;27,5;42,6;38;0;61;1
2000;3;82;72,9;60,5;91;Ponta Cosme;34,3;49,5;;;;
2004;1;84,5;82,1;57,4;101;Ervatao;24,7;59,7;;;;
2002;3;79,2;78,1;57;79;Ponta Cosme;36,4;49,5;;;;
2003;1;75;73,2;55;74;Ponta Cosme;19;34,4;;;;
1999;1;80,2;71,4;62;83;Porto Ferreiro;23,8;42,7;0;0;83;1
2004;5;81;76,2;59,4;97;Ervatao;25,8;52,6;15;0;82;1
2004;4;81,9;75,9;61,5;66;Calheta;20,9;35,8;55;2;9;0
2004;1;79,1;76,7;59;88;Ervatao;13,7;56,2;;;;
2000;2;88,2;80,5;67,7;96;Ponta Cosme;24,7;50,7;6;1;89;1
2002;2;83,9;78,9;66,4;87;Ervatao;26,9;68,8;;;;
2001;2;78,8;74,5;58,3;60;Ponta Cosme;24,8;51,5;42;0;18;0
1999;4;77,4;73,4;52,9;82;Ervatao;11,9;60,9;0;0;82;1
2000;5;85;76,1;60,7;82;Ponta Cosme;23,6;32,4;13;0;69;0
